City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
zapolyarnyy,69.4154,30.8136,10.4,56,0,11.5,RU,1611874050
fortuna,40.5982,-124.1573,48.99,93,40,11.5,US,1611874050
sinjai,-5.1241,120.253,77.61,77,100,5.86,ID,1611874050
scarborough,54.2797,-0.4044,43.0,95,100,8.41,GB,1611873953
necochea,-38.5473,-58.7368,68.0,67,100,3.0,AR,1611874051
jamestown,42.097,-79.2353,19.0,86,90,16.11,US,1611874017
okahandja,-21.9833,16.9167,69.8,46,82,3.44,NA,1611874051
camacha,33.0833,-16.3333,59.0,100,75,5.75,PT,1611874051
kundiawa,-6.0167,144.9667,69.58,72,94,2.64,PG,1611874051
bengkulu,-3.8004,102.2655,75.09,87,98,9.62,ID,1611874051
lebu,-37.6167,-73.65,58.08,95,100,11.54,CL,1611874051
oyugis,-0.509,34.7358,64.98,63,38,3.8,KE,1611874051
fuerte olimpo,-21.0415,-57.8738,76.01,93,99,3.62,PY,1611874052
tasbuget,0.0,0.0,0.0,0,0,0.0,0,0
saryozek,44.3583,77.9753,15.44,85,7,2.77,KZ,1611874052
dedza,-14.3779,34.3332,60.51,99,99,0.45,MW,1611874052
verkhnyaya inta,65.9811,60.3094,-29.34,85,39,3.51,RU,1611874052
sohbatpur,28.5202,68.5434,49.48,37,0,1.34,PK,1611874053
okandja,0.0,0.0,0.0,0,0,0.0,0,0
bambous virieux,-20.3428,57.7575,77.0,88,75,4.61,MU,1611874053
cape town,-33.9258,18.4232,66.0,80,2,1.99,ZA,1611874053
sainte-thecle,46.8168,-72.4991,15.8,57,100,10.36,CA,1611874053
matara,5.9485,80.5353,76.15,86,17,2.08,LK,1611874508
kontagora,10.3999,5.4695,74.84,18,20,4.5,NG,1611874508
port moresby,-9.4431,147.1797,77.0,88,75,11.5,PG,1611874378
mar del plata,-38.0023,-57.5575,78.8,57,75,12.66,AR,1611874373
beira,-19.8436,34.8389,80.02,84,4,8.37,MZ,1611874508
saint-philippe,-21.3585,55.7679,77.0,69,0,6.91,RE,1611874508
mahibadhoo,3.7833,72.9667,80.04,74,3,12.21,MV,1611874508
angoche,-16.2325,39.9086,79.09,84,44,6.91,MZ,1611874508
kahului,20.8947,-156.47,80.6,54,40,23.02,US,1611874509
bykovo,55.6361,38.0803,33.01,93,90,11.18,RU,1611874509
atar,20.5169,-13.0499,68.74,25,0,9.28,MR,1611874509
belushya guba,0.0,0.0,0.0,0,0,0.0,0,0
fukue,32.6881,128.8419,36.59,87,100,29.75,JP,1611874509
pontianak,-0.0333,109.3333,75.2,100,90,3.44,ID,1611874509
umzimvubu,0.0,0.0,0.0,0,0,0.0,0,0
nanortalik,60.1432,-45.2371,29.84,92,100,6.38,GL,1611874509
east london,-33.0153,27.9116,68.56,76,10,11.16,ZA,1611874509
quang ngai,15.1167,108.8,66.16,87,84,5.1,VN,1611874510
barentsburg,0.0,0.0,0.0,0,0,0.0,0,0
lyantonde,-0.4031,31.1572,64.96,77,12,3.36,UG,1611874510
carutapera,-1.195,-46.02,79.14,80,100,6.35,BR,1611874510
nhulunbuy,-12.2333,136.7667,80.6,83,99,8.05,AU,1611874510
bourail,-21.5667,165.4833,82.8,69,60,7.02,NC,1611874510
ponta do sol,32.6667,-17.1,59.0,75,28,1.99,PT,1611874510
tromso,69.6496,18.957,21.2,58,75,5.75,NO,1611874510
alice town,25.7167,-79.3,66.51,72,22,26.22,BS,1611874511
narsaq,60.9167,-46.05,44.6,31,75,33.38,GL,1611874511
smoky lake,54.1169,-112.4686,-2.22,91,54,1.95,CA,1611874511
emerald,-23.5333,148.1667,80.6,61,90,11.5,AU,1611874511
kapaa,22.0752,-159.319,75.2,73,90,17.27,US,1611874511
jaque,7.5175,-78.1703,82.78,69,99,10.11,PA,1611874511
tasiilaq,65.6145,-37.6368,24.04,97,100,10.45,GL,1611874511
altay,47.8667,88.1167,1.58,78,0,1.77,CN,1611874511
oranjemund,-28.55,16.4333,62.65,79,0,19.33,NA,1611874511
sorland,67.667,12.6934,29.05,90,27,12.59,NO,1611874512
ilhabela,-23.7781,-45.3581,79.93,77,97,4.09,BR,1611874512
norman wells,65.282,-126.8329,-23.8,76,20,2.3,CA,1611874512
touros,-5.1989,-35.4608,80.6,74,40,10.36,BR,1611874512
wulanhaote,0.0,0.0,0.0,0,0,0.0,0,0
rabo de peixe,37.8,-25.5833,63.0,94,75,24.16,PT,1611874512
krasnaya gora,52.9995,31.6023,26.6,93,75,11.18,RU,1611874512
esperance,-33.8667,121.9,64.49,67,24,8.93,AU,1611874512
labutta,0.0,0.0,0.0,0,0,0.0,0,0
santa cruz,-17.8,-63.1667,72.01,91,100,12.82,BO,1611874453
chapais,49.7834,-74.8492,-4.04,91,100,9.66,CA,1611874513
nikolskoye,59.7035,30.7861,32.0,93,75,11.18,RU,1611874513
sao filipe,14.8961,-24.4956,73.62,66,0,4.88,CV,1611874513
provideniya,64.3833,-173.3,10.4,72,90,20.13,RU,1611874513
lompoc,34.6391,-120.4579,51.8,87,90,6.91,US,1611874513
iqaluit,63.7506,-68.5145,-11.2,70,1,24.16,CA,1611874513
chokurdakh,70.6333,147.9167,-18.54,88,100,7.11,RU,1611874949
hereford,52.0568,-2.7148,51.01,96,100,1.01,GB,1611874856
kushiro,42.975,144.3747,23.0,80,75,14.97,JP,1611874949
puerto ayora,-0.7393,-90.3518,82.0,86,82,7.0,EC,1611874949
pangnirtung,66.1451,-65.7125,-7.6,77,1,5.75,CA,1611874949
ayan,56.45,138.1667,-10.79,80,100,4.94,RU,1611874949
isangel,-19.55,169.2667,86.0,74,75,9.22,VU,1611874949
ostersund,63.1792,14.6357,-4.0,84,93,1.12,SE,1611874950
yar-sale,66.8333,70.8333,-27.54,85,100,9.33,RU,1611874950
lensk,60.7253,114.9278,-39.51,78,99,3.22,RU,1611874950
lagoa,39.05,-27.9833,62.96,88,100,32.35,PT,1611874950
dianopolis,0.0,0.0,0.0,0,0,0.0,0,0
barrow,71.2906,-156.7887,-14.8,76,1,10.36,US,1611874903
ribeira grande,38.5167,-28.7,64.29,85,100,41.05,PT,1611874950
vagur,61.4732,-6.8119,38.12,75,1,24.94,FO,1611874950
mahebourg,-20.4081,57.7,77.0,88,75,4.61,MU,1611874950
bonthe,7.5264,-12.505,77.95,82,1,4.85,SL,1611874951
asau,46.4333,26.4,30.0,59,68,7.0,RO,1611874951
stornoway,58.2093,-6.3865,37.4,87,75,23.02,GB,1611874951
nadym,65.5333,72.5167,-28.08,85,100,9.78,RU,1611874951
geraldton,-28.7667,114.6,77.0,41,0,8.05,AU,1611874749
gornyatskiy,48.2915,40.9575,33.35,93,97,9.48,RU,1611874951
palu,-0.8917,119.8707,75.74,82,100,2.48,ID,1611874787
tanabe,33.7333,135.3667,35.92,80,62,22.75,JP,1611874951
marawi,7.9986,124.2928,73.99,94,100,3.0,PH,1611874951
payo,-3.7508,103.6372,72.0,96,100,2.13,ID,1611874952
talnakh,69.4865,88.3972,-32.69,73,0,4.36,RU,1611874952
saleaula,0.0,0.0,0.0,0,0,0.0,0,0
cap malheureux,-19.9842,57.6142,77.0,82,4,3.0,MU,1611874952
ojinaga,29.5667,-104.4167,63.59,27,52,6.73,MX,1611874952
sentyabrskiy,0.0,0.0,0.0,0,0,0.0,0,0
outjo,-20.1167,16.15,71.04,69,72,7.34,NA,1611874953
thompson,55.7435,-97.8558,-2.2,84,75,2.3,CA,1611874953
gimli,50.6336,-96.9907,14.0,100,88,1.99,CA,1611874953
upernavik,72.7868,-56.1549,-12.69,86,30,11.41,GL,1611874953
akdepe,42.0551,59.3788,35.38,78,95,12.1,TM,1611874953
port macquarie,-31.4333,152.9167,75.2,88,90,6.91,AU,1611874953
malakal,9.5334,31.6605,80.89,16,0,8.46,SS,1611874953
bluff,-46.6,168.3333,48.0,80,100,8.01,NZ,1611874953
avanigadda,16.0215,80.9181,69.96,90,5,5.17,IN,1611874954
valreas,44.3837,4.9908,51.01,87,75,2.48,FR,1611874954
hualmay,-11.0964,-77.6139,73.09,73,16,8.72,PE,1611874954
avarua,-21.2078,-159.775,81.19,75,53,14.16,CK,1611874954
saint-pierre,-21.3393,55.4781,77.0,69,0,6.91,RE,1611874954
nome,64.5011,-165.4064,14.0,62,90,5.75,US,1611874954
makakilo city,21.3469,-158.0858,78.8,57,40,16.11,US,1611874954
mantua,45.1667,10.7833,33.01,92,14,1.01,IT,1611874954
varadero,23.1536,-81.2514,73.6,77,97,20.83,CU,1611874802
rio gallegos,-51.6226,-69.2181,51.42,46,99,29.86,AR,1611874954
antalaha,-14.9003,50.2788,76.3,85,13,2.26,MG,1611874955
igarka,67.4667,86.5833,-35.23,78,0,6.76,RU,1611875024
ordzhonikidze,52.4411,61.7408,9.93,94,95,9.42,KZ,1611875024
haverfordwest,51.8017,-4.9691,48.99,100,75,17.27,GB,1611875024
faanui,-16.4833,-151.75,81.0,68,100,7.56,PF,1611875024
tuatapere,-46.1333,167.6833,48.0,80,96,8.01,NZ,1611875024
kodiak,57.79,-152.4072,34.23,95,100,18.25,US,1611875025
atambua,-9.1061,124.8925,75.72,90,100,10.2,ID,1611875025
sitka,57.0531,-135.33,35.6,64,75,9.22,US,1611875005
saskylakh,71.9167,114.0833,-41.57,79,41,4.25,RU,1611875025
roma,43.2128,-75.4557,15.8,79,90,10.36,US,1611874808
hilo,19.7297,-155.09,78.8,57,40,5.75,US,1611874852
safford,32.834,-109.7076,57.2,30,1,13.8,US,1611875025
jiwani,25.05,61.7417,64.92,48,0,5.26,PK,1611875025
kaeo,-35.1,173.7833,71.01,50,3,10.0,NZ,1611875026
komsomolskiy,40.4272,71.7189,28.4,64,0,4.61,UZ,1611875026
pevek,69.7008,170.3133,-21.37,87,38,2.53,RU,1611875026
penzance,50.1186,-5.5371,50.0,100,75,20.71,GB,1611875026
arica,-18.475,-70.3042,71.08,71,0,4.14,CL,1611874926
bongandanga,1.5,21.05,71.87,95,99,2.82,CD,1611875026
warqla,0.0,0.0,0.0,0,0,0.0,0,0
boca del monte,19.15,-96.8167,72.0,73,90,11.5,MX,1611875026
prainha,-1.8,-53.48,76.23,90,94,3.6,BR,1611875026
vyazemskiy,47.5378,134.7525,-8.72,87,100,4.07,RU,1611875026
panguna,-6.3164,155.4848,79.05,78,100,3.85,PG,1611875027
chimbote,-9.0853,-78.5783,72.1,75,39,8.37,PE,1611874827
viedma,-40.8135,-62.9967,70.25,31,84,14.67,AR,1611874827
kollam,8.8833,76.6,77.0,73,20,4.61,IN,1611874899
weligama,5.9667,80.4167,76.23,86,9,1.3,LK,1611875027
lufkin,31.3382,-94.7291,55.99,47,96,3.87,US,1611874755
vila franca do campo,37.7167,-25.4333,63.0,94,75,24.16,PT,1611875027
bathsheba,13.2167,-59.5167,77.2,70,42,13.09,BB,1611874871
codrington,-38.2667,141.9667,66.58,95,100,4.81,AU,1611875027
chiredzi,-21.05,31.6667,72.91,94,100,10.56,ZW,1611875028
ilulissat,69.2167,-51.1,6.8,61,0,10.36,GL,1611875028
kazachinskoye,57.6953,93.2761,-23.96,85,100,9.04,RU,1611875028
mys shmidta,0.0,0.0,0.0,0,0,0.0,0,0
plettenberg bay,-34.0527,23.3716,62.08,75,0,4.59,ZA,1611875028
cascais,38.6979,-9.4215,55.99,100,71,4.79,PT,1611875028
darab,28.7519,54.5444,50.49,39,80,0.81,IR,1611875028
nizhneyansk,0.0,0.0,0.0,0,0,0.0,0,0
luhyny,51.082,28.4006,22.42,97,100,7.58,UA,1611875028
amderma,0.0,0.0,0.0,0,0,0.0,0,0
roquetas de mar,36.7642,-2.6148,53.6,100,74,1.14,ES,1611875029
walvis bay,-22.9575,14.5053,66.2,82,1,5.75,NA,1611875029
louisbourg,0.0,0.0,0.0,0,0,0.0,0,0
zonguldak,41.25,31.8333,26.92,99,69,3.62,TR,1611875029
barra do corda,-5.5,-45.25,74.55,93,100,5.32,BR,1611875029
singaparna,-7.3515,108.111,71.47,87,100,3.24,ID,1611875029
gat,31.61,34.7642,52.0,100,16,10.83,IL,1611875029
yarmouth,41.7057,-70.2286,33.8,86,90,18.41,US,1611875029
mariel,22.9875,-82.7536,69.8,52,40,12.66,CU,1611875330
zhanatas,0.0,0.0,0.0,0,0,0.0,0,0
ondorhaan,0.0,0.0,0.0,0,0,0.0,0,0
mareeba,-17.0,145.4333,75.0,94,100,1.99,AU,1611875331
chapleau,47.8405,-83.4034,6.8,66,75,6.91,CA,1611875331
la plata,-34.9215,-57.9545,75.99,71,100,14.38,AR,1611875331
zeya,53.75,127.2667,-23.82,82,100,2.26,RU,1611875331
merauke,-8.4667,140.3333,83.55,74,100,17.27,ID,1611875331
yellowknife,62.456,-114.3525,-18.99,76,20,3.44,CA,1611875331
honiara,-9.4333,159.95,80.26,83,100,10.02,SB,1611875111
graciano sanchez,23.9167,-99.2833,69.8,32,75,8.5,MX,1611875331
mizan teferi,6.9833,35.5833,65.12,63,1,2.68,ET,1611875332
khatanga,71.9667,102.5,-41.71,74,0,2.73,RU,1611875271
destin,30.3935,-86.4958,55.99,38,1,10.36,US,1611875266
jega,12.2175,4.3792,76.19,17,0,14.16,NG,1611875292
itarema,-2.9248,-39.9167,80.31,77,99,14.25,BR,1611875312
bethel,41.3712,-73.414,26.01,50,0,1.01,US,1611875332
dunedin,-45.8742,170.5036,51.01,71,89,25.01,NZ,1611875332
nuevitas,21.5453,-77.2644,74.37,76,0,10.4,CU,1611875170
cabo san lucas,22.8909,-109.9124,78.8,46,20,8.05,MX,1611875149
salto,-31.3833,-57.9667,87.01,50,27,8.01,UY,1611875332
lokosovo,61.1333,74.8167,-7.35,91,88,6.29,RU,1611875333
russell,32.3502,-85.1999,52.0,44,0,4.0,US,1611875333
khani,41.9563,42.9566,42.8,93,90,2.3,GE,1611875333
klaksvik,62.2266,-6.589,33.8,60,20,12.66,FO,1611875333
tanout,14.9709,8.8879,62.85,28,0,13.56,NE,1611875291
ericeira,38.9627,-9.4156,55.99,99,83,1.99,PT,1611875053
kongoussi,13.3258,-1.5347,72.86,17,0,9.73,BF,1611875333
laredo,27.5064,-99.5075,68.0,24,1,9.22,US,1611875210
korla,41.7597,86.1469,20.19,83,0,2.04,CN,1611875333
bull savanna,17.8868,-77.5902,75.69,76,54,3.47,JM,1611875334
dikson,73.5069,80.5464,-31.68,79,65,3.76,RU,1611875334
riaba,0.0,0.0,0.0,0,0,0.0,0,0
kemijarvi,66.7131,27.4306,11.46,95,100,10.31,FI,1611875334
nioro,13.35,-15.75,74.35,17,5,1.59,GM,1611875334
coahuayana,18.7333,-103.6833,82.4,57,40,5.32,MX,1611875334
noumea,-22.2763,166.4572,84.2,70,20,19.57,NC,1611875334
barabinsk,55.3571,78.357,24.08,96,100,19.01,RU,1611875334
ichchapuram,19.1167,84.7,67.55,84,0,3.27,IN,1611875113
abu samrah,35.3029,37.1841,44.55,87,33,6.73,SY,1611875334
fairbanks,64.8378,-147.7164,-0.99,77,75,1.81,US,1611875254
tuktoyaktuk,69.4541,-133.0374,-28.34,84,3,8.84,CA,1611875069
levice,48.2156,18.6071,37.0,93,100,3.0,SK,1611875335
takoradi,4.8845,-1.7554,78.53,87,32,5.39,GH,1611875222
sivas,39.7916,37.0019,23.0,93,90,12.66,TR,1611875335
suez,29.9737,32.5263,52.11,44,65,8.95,EG,1611875170
namibe,-15.1961,12.1522,73.89,74,99,6.87,AO,1611875335
boa vista,2.8197,-60.6733,84.2,51,0,10.36,BR,1611875042
san carlos de bariloche,-41.1456,-71.3082,62.01,58,40,19.57,AR,1611875336
tuy hoa,13.0833,109.3,69.28,83,89,11.7,VN,1611875336
vaitape,-16.5167,-151.75,81.0,68,100,7.63,PF,1611875530
songkhla,6.8333,100.6667,70.95,94,100,4.27,TH,1611875530
bilma,18.6853,12.9164,64.33,27,0,10.22,NE,1611875530
lasa,46.6166,10.7002,32.0,93,90,3.44,IT,1611875531
leningradskiy,69.3833,178.4167,-20.25,85,70,3.56,RU,1611875440
georgetown,5.4112,100.3354,77.0,83,20,4.61,MY,1611875531
dudinka,69.4058,86.1778,-35.61,76,6,4.72,RU,1611875531
guerrero negro,27.9769,-114.0611,67.8,38,0,12.33,MX,1611875481
khash,28.2211,61.2158,39.22,46,0,1.19,IR,1611875531
kapit,2.0167,112.9333,72.1,95,100,0.56,MY,1611875531
mehamn,71.0357,27.8492,21.2,68,0,25.32,NO,1611875532
chagda,0.0,0.0,0.0,0,0,0.0,0,0
naze,28.3667,129.4833,53.6,54,75,17.27,JP,1611875330
timizart,36.8,4.2667,57.09,74,13,6.31,DZ,1611875532
saldanha,-33.0117,17.9442,59.0,72,0,4.61,ZA,1611875321
bismarck,46.8083,-100.7837,18.0,73,1,8.05,US,1611875532
areka,7.0667,37.7,61.47,37,40,5.1,ET,1611875532
nishihara,26.1842,127.7558,57.2,44,75,24.16,JP,1611875368
colac,-38.3333,143.5833,61.0,97,100,1.01,AU,1611875532
biak,-0.9131,122.8766,77.79,75,97,4.72,ID,1611875533
coruripe,-10.1256,-36.1756,77.83,79,55,9.93,BR,1611875369
solnechnyy,50.7214,136.6319,-13.94,85,84,1.59,RU,1611875533
douglas,41.3,-96.167,28.99,93,90,13.8,US,1611875472
samusu,0.0,0.0,0.0,0,0,0.0,0,0
san patricio,28.017,-97.5169,62.01,49,90,1.01,US,1611875533
nemuro,43.3236,145.575,29.62,93,100,23.78,JP,1611875533
manakara,-22.1333,48.0167,76.19,91,12,2.08,MG,1611875234
nuuk,64.1835,-51.7216,30.2,64,20,14.97,GL,1611875468
santo antonio do ica,-3.1022,-67.9397,77.76,89,100,2.28,BR,1611875533
itoman,26.1247,127.6694,57.2,54,75,27.63,JP,1611875534
gangotri,0.0,0.0,0.0,0,0,0.0,0,0
ngukurr,0.0,0.0,0.0,0,0,0.0,0,0
cornwall,45.0181,-74.7281,12.2,61,90,17.27,CA,1611875393
krasnoarmeysk,51.0239,45.6969,21.0,87,100,1.01,RU,1611875534
saint anthony,45.0205,-93.218,21.2,58,1,9.22,US,1611875534
auki,-8.7676,160.7034,81.72,82,100,15.82,SB,1611875534
meyungs,0.0,0.0,0.0,0,0,0.0,0,0
grand gaube,-20.0064,57.6608,77.0,82,5,5.01,MU,1611875534
pokhara,28.2333,83.9833,49.08,33,0,5.3,NP,1611875535
port-gentil,-0.7193,8.7815,78.8,94,20,4.61,GA,1611875535
zhaotong,27.3167,103.7167,35.37,87,100,2.39,CN,1611875535
tilichiki,60.4667,166.1,-1.16,93,99,8.97,RU,1611875535
hailar,49.2,119.7,-23.6,83,82,7.78,CN,1611875535
aldan,58.6031,125.3894,-38.47,82,100,1.79,RU,1611875535
newport,51.5877,-2.9984,50.0,96,100,4.0,GB,1611875536
oktyabrskiy,54.4815,53.471,18.66,95,100,6.69,RU,1611875536
marcona,0.0,0.0,0.0,0,0,0.0,0,0
samana,19.2056,-69.3369,80.6,83,20,6.91,DO,1611875336
college,64.8569,-147.8028,-0.99,71,75,3.44,US,1611875536
vao,-22.6667,167.4833,76.44,82,76,21.47,NC,1611875536
mahina,-17.5065,-149.489,86.0,62,40,10.36,PF,1611875624
ler,8.3018,30.1418,77.86,23,100,2.91,SS,1611875624
beringovskiy,63.05,179.3167,-0.72,92,100,20.11,RU,1611875409
impfondo,1.6381,18.0667,75.16,75,89,4.47,CG,1611875624
patrai,0.0,0.0,0.0,0,0,0.0,0,0
aripuana,-9.1667,-60.6333,76.14,91,77,2.59,BR,1611875624
loreto,22.2667,-101.9667,68.54,35,2,10.2,MX,1611875625
fort dodge,42.4975,-94.168,24.01,89,97,1.01,US,1611875625
nguruka,-5.1092,31.0419,64.15,93,22,3.53,TZ,1611875625
lolua,0.0,0.0,0.0,0,0,0.0,0,0
mayo,38.8876,-76.5119,33.8,40,1,18.41,US,1611875396
erzurum,40.0,41.5,32.0,64,75,17.27,TR,1611875371
naryan-mar,67.6713,53.087,-31.92,83,1,6.53,RU,1611875625
labuhan,-6.8844,112.2051,77.56,87,100,12.48,ID,1611875625
mackay,-21.15,149.2,77.0,86,11,17.81,AU,1611875409
havoysund,70.9963,24.6622,17.6,57,40,27.63,NO,1611875625
burkhala,0.0,0.0,0.0,0,0,0.0,0,0
ahipara,-35.1667,173.1667,64.8,61,63,17.34,NZ,1611875626
yulara,-25.2406,130.9889,84.2,45,75,9.22,AU,1611875375
broken hill,-31.95,141.4333,75.2,83,90,8.05,AU,1611875626
chuy,-33.6971,-53.4616,70.16,69,21,10.71,UY,1611875626
tiksi,71.6872,128.8694,-20.34,87,99,6.53,RU,1611875626
cottbus,51.7667,14.3333,30.0,89,97,4.34,DE,1611875626
longyearbyen,78.2186,15.6401,-4.0,54,20,23.02,SJ,1611875626
tokur,53.1333,132.9,-32.69,86,46,1.99,RU,1611875626
coihaique,-45.5752,-72.0662,53.6,54,75,10.36,CL,1611875627
trairi,-3.2778,-39.2689,80.19,75,98,10.67,BR,1611875527
burgeo,47.6167,-57.6152,21.49,90,43,8.25,CA,1611875627
opuwo,-18.0607,13.84,71.85,68,99,5.75,NA,1611875627
london,51.5085,-0.1257,52.0,87,75,6.91,GB,1611875437
tual,-5.6667,132.75,83.41,76,100,15.68,ID,1611875627
san rafael,-34.6177,-68.3301,79.93,21,68,9.35,AR,1611875433
key largo,25.0865,-80.4473,73.0,38,6,5.99,US,1611875627
arlit,18.7369,7.3853,62.42,30,0,7.23,NE,1611875628
betong,5.7743,101.0723,66.22,93,100,2.62,TH,1611875563
podporozhye,60.9112,34.1706,24.06,98,100,7.11,RU,1611875628
palaikastron,35.2,26.25,46.99,56,0,22.3,GR,1611875628
galle,6.0367,80.217,76.89,84,2,0.81,LK,1611875628
alunitdag,0.0,0.0,0.0,0,0,0.0,0,0
kavarna,43.4333,28.3333,28.0,86,0,4.61,BG,1611875628
kwekwe,-18.9281,29.8149,66.43,92,100,6.49,ZW,1611875628
azimur,0.0,0.0,0.0,0,0,0.0,0,0
nouadhibou,20.931,-17.0347,71.6,53,0,9.22,MR,1611875353
richards bay,-28.783,32.0377,69.33,88,100,5.35,ZA,1611875339
tiarei,-17.5333,-149.3333,86.0,62,40,10.36,PF,1611875629
tulu bolo,8.6667,38.2167,55.29,40,39,3.49,ET,1611875629
